order_id,customer,expected_amount,order_status,order_date
ORD1001,"Sneha Iyer",14999,paid,2026-09-02T09:00:00.000Z
ORD1002,"Priya Patel",6499,paid,2026-08-19T06:00:00.000Z
ORD1003,"Farah Khan",13999,pending,2026-08-15T11:00:00.000Z
ORD1004,"Karan Malhotra",18999,paid,2026-08-11T09:00:00.000Z
ORD1005,"Sneha Iyer",2999,paid,2026-08-21T03:00:00.000Z
ORD1006,"Shruti Kapoor",3999,paid,2026-08-09T03:00:00.000Z
ORD1007,"Ishita Bose",9499,paid,2026-09-01T06:00:00.000Z
ORD1008,"Divya Menon",2499,paid,2026-08-20T08:00:00.000Z
ORD1009,"Shruti Kapoor",6999,paid,2026-08-07T08:00:00.000Z
ORD1010,"Prakash Yadav",1499,paid,2026-08-30T01:00:00.000Z
ORD1011,"Harsha Vardhan",12499,paid,2026-08-16T07:00:00.000Z
ORD1012,"Farah Khan",649,paid,2026-08-24T02:00:00.000Z
ORD1013,"Kavya Nair",9999,paid,2026-08-19T07:00:00.000Z
ORD1014,"Karan Malhotra",6499,pending,2026-08-09T09:00:00.000Z
ORD1015,"Manish Tiwari",1499,paid,2026-08-21T01:00:00.000Z
ORD1016,"Anjali Desai",1999,paid,2026-08-05T09:00:00.000Z
ORD1017,"Amit Verma",6499,paid,2026-08-21T08:00:00.000Z
ORD1018,"Ishita Bose",2999,paid,2026-08-06T08:00:00.000Z
ORD1019,"Kavya Nair",5499,paid,2026-08-15T03:00:00.000Z
ORD1020,"Meera Krishnan",5499,paid,2026-08-08T02:00:00.000Z
ORD1021,"Amit Verma",1749,paid,2026-09-03T01:00:00.000Z
ORD1022,"Ravi Shankar",11249,paid,2026-08-20T02:00:00.000Z
ORD1023,"Farah Khan",5999,paid,2026-08-15T05:00:00.000Z
ORD1024,"Sanjay Das",17999,paid,2026-08-27T10:00:00.000Z
ORD1025,"Ramesh Iyer",799,paid,2026-09-01T10:00:00.000Z
ORD1026,"Arjun Reddy",8999,paid,2026-08-16T02:00:00.000Z
ORD1027,"Sanjay Das",18999,paid,2026-08-08T08:00:00.000Z
ORD1028,"Shruti Kapoor",1099,paid,2026-08-30T07:00:00.000Z
ORD1029,"Sneha Iyer",9499,paid,2026-08-17T09:00:00.000Z
ORD1030,"Farah Khan",2150,paid,2026-08-08T02:00:00.000Z
ORD1031,"Aishwarya Nair",499,paid,2026-08-05T03:00:00.000Z
ORD1032,"Ritu Saxena",3299,paid,2026-09-01T01:00:00.000Z
ORD1033,"Sneha Iyer",12499,paid,2026-09-01T10:00:00.000Z
ORD1034,"Deepak Choudhary",6499,paid,2026-09-03T11:00:00.000Z
ORD1035,"Vikram Singh",1999,paid,2026-08-15T06:00:00.000Z
ORD1036,"Lakshmi Rao",799,paid,2026-08-25T00:00:00.000Z
ORD1037,"Shruti Kapoor",5999,paid,2026-08-22T05:00:00.000Z
ORD1038,"Karan Malhotra",1749,paid,2026-08-14T10:00:00.000Z
ORD1039,"Rahul Sharma",2150,paid,2026-09-02T03:00:00.000Z
ORD1040,"Nikhil Joshi",1299,paid,2026-08-10T11:00:00.000Z
ORD1041,"Kunal Shah",4499,cancelled,2026-08-05T03:00:00.000Z
ORD1042,"Arjun Reddy",1999,paid,2026-09-03T02:00:00.000Z
ORD1043,"Arjun Reddy",2499,paid,2026-08-30T05:00:00.000Z
ORD1044,"Divya Menon",499,paid,2026-08-23T03:00:00.000Z
ORD1045,"Shruti Kapoor",11249,paid,2026-08-16T00:00:00.000Z
ORD1046,"Meera Krishnan",12499,pending,2026-08-13T04:00:00.000Z
ORD1047,"Lakshmi Rao",4999,paid,2026-08-07T04:00:00.000Z
ORD1048,"Pooja Kulkarni",9499,paid,2026-08-20T09:00:00.000Z
ORD1049,"Pallavi Iyer",6999,paid,2026-08-20T10:00:00.000Z
ORD1050,"Tanya Bhatia",5999,paid,2026-08-12T00:00:00.000Z
ORD1051,"Amit Verma",2999,paid,2026-08-30T02:00:00.000Z
ORD1052,"Neha Agarwal",2150,paid,2026-08-15T10:00:00.000Z
ORD1053,"Farah Khan",2999,paid,2026-08-16T11:00:00.000Z
ORD1054,"Suresh Babu",11249,paid,2026-08-06T10:00:00.000Z
ORD1055,"Pooja Kulkarni",1999,paid,2026-08-16T05:00:00.000Z
ORD1056,"Shruti Kapoor",12499,paid,2026-08-26T08:00:00.000Z
ORD1057,"Sneha Iyer",5999,paid,2026-08-06T08:00:00.000Z
ORD1058,"Ritu Saxena",6999,paid,2026-08-30T05:00:00.000Z
ORD1059,"Prakash Yadav",3999,paid,2026-08-07T03:00:00.000Z
ORD1060,"Sneha Iyer",7999,cancelled,2026-08-27T00:00:00.000Z
ORD1061,"Pooja Kulkarni",6999,paid,2026-08-23T11:00:00.000Z
ORD1062,"Shruti Kapoor",2150,paid,2026-08-16T02:00:00.000Z
ORD1063,"Farah Khan",17999,paid,2026-09-01T04:00:00.000Z
ORD1064,"Ananya Gupta",8999,paid,2026-08-11T11:00:00.000Z
ORD1065,"Arjun Reddy",24999,paid,2026-08-21T11:00:00.000Z
ORD1066,"Kunal Shah",2999,paid,2026-08-19T10:00:00.000Z
ORD1067,"Priya Patel",899,paid,2026-08-15T03:00:00.000Z
ORD1068,"Amit Verma",9999,paid,2026-08-06T08:00:00.000Z
ORD1069,"Ananya Gupta",999,paid,2026-08-13T04:00:00.000Z
ORD1070,"Ananya Gupta",1499,paid,2026-08-12T09:00:00.000Z
ORD1071,"Deepak Choudhary",1299,paid,2026-08-27T08:00:00.000Z
ORD1072,"Nidhi Verma",17999,paid,2026-09-01T02:00:00.000Z
ORD1073,"Neha Agarwal",3299,paid,2026-09-02T11:00:00.000Z
ORD1074,"Prakash Yadav",7999,paid,2026-08-29T10:00:00.000Z
ORD1075,"Pallavi Iyer",13999,paid,2026-08-13T07:00:00.000Z
ORD1076,"Vikram Singh",3299,paid,2026-08-16T10:00:00.000Z
ORD1077,"Aishwarya Nair",9499,paid,2026-08-15T11:00:00.000Z
ORD1078,"Harsha Vardhan",1299,paid,2026-08-18T01:00:00.000Z
ORD1079,"Farah Khan",1749,paid,2026-09-02T05:00:00.000Z
ORD1080,"Aishwarya Nair",14999,paid,2026-08-28T06:00:00.000Z
ORD1081,"Deepak Choudhary",499,paid,2026-08-20T00:00:00.000Z
ORD1082,"Arjun Reddy",5499,paid,2026-08-26T04:00:00.000Z
ORD1083,"Deepak Choudhary",5999,cancelled,2026-09-02T04:00:00.000Z
ORD1084,"Meera Krishnan",1299,paid,2026-08-18T00:00:00.000Z
ORD1085,"Karan Malhotra",899,paid,2026-09-03T06:00:00.000Z
ORD1086,"Priya Patel",3499,paid,2026-08-15T00:00:00.000Z
ORD1087,"Karan Malhotra",4499,paid,2026-08-10T00:00:00.000Z
ORD1088,"Ritu Saxena",499,paid,2026-08-17T06:00:00.000Z
ORD1089,"Pallavi Iyer",24999,paid,2026-08-20T11:00:00.000Z
ORD1090,"Arjun Reddy",7999,paid,2026-08-23T07:00:00.000Z
ORD1091,"Sanjay Das",1499,paid,2026-08-23T07:00:00.000Z
ORD1092,"Mohit Agarwal",1299,paid,2026-08-29T07:00:00.000Z
ORD1093,"Vikram Singh",5499,paid,2026-08-05T03:00:00.000Z
ORD1094,"Divya Menon",1749,paid,2026-08-06T01:00:00.000Z
ORD1095,"Ananya Gupta",13999,paid,2026-08-09T00:00:00.000Z
ORD1096,"Arjun Reddy",5499,paid,2026-08-16T06:00:00.000Z
ORD1097,"Ramesh Iyer",649,paid,2026-08-30T11:00:00.000Z
ORD1098,"Ravi Shankar",1099,paid,2026-08-13T00:00:00.000Z
ORD1099,"Farah Khan",18999,paid,2026-08-07T06:00:00.000Z
ORD1100,"Suresh Babu",3499,paid,2026-09-01T11:00:00.000Z
ORD1101,"Sneha Iyer",5999,paid,2026-08-12T07:00:00.000Z
ORD1102,"Swati Mishra",2499,paid,2026-08-21T06:00:00.000Z
ORD1103,"Pooja Kulkarni",24999,paid,2026-08-25T06:00:00.000Z
